trial_id,execution_status,metrics_status,execution_succeeded,objective_eligible,runtime_seconds,exit_code,timed_out,param.learning_rate,param.hidden_size,param.epochs,param.batch_size,error_message
0,process_failed,missing,False,False,0.02100370009429753,2,False,0.07741820925074075,85,47,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
1,process_failed,missing,False,False,0.017680100165307522,2,False,0.06976706610303046,111,24,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
2,process_failed,missing,False,False,0.01796300010755658,2,False,0.09756467292851193,95,78,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
3,process_failed,missing,False,False,0.01797030004672706,2,False,0.012898551904287032,102,85,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
4,process_failed,missing,False,False,0.018073400016874075,2,False,0.03714272262083487,26,93,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
5,process_failed,missing,False,False,0.017868499970063567,2,False,0.08229388516575592,84,57,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
6,process_failed,missing,False,False,0.01791259995661676,2,False,0.022801148306299212,15,58,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
7,process_failed,missing,False,False,0.018950900062918663,2,False,0.08278035408205896,11,31,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
8,process_failed,missing,False,False,0.018614100059494376,2,False,0.07583296523452886,91,39,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
9,process_failed,missing,False,False,0.023385999957099557,2,False,0.08932280002008755,125,70,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
10,process_failed,missing,False,False,0.019917800091207027,2,False,0.01954440691441156,49,49,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
11,process_failed,missing,False,False,0.021504800068214536,2,False,0.015513520257548027,9,76,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
12,process_failed,missing,False,False,0.01940910005941987,2,False,0.07450173937519093,49,97,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
13,process_failed,missing,False,False,0.019073399947956204,2,False,0.03710892463288341,44,12,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
14,process_failed,missing,False,False,0.02112739998847246,2,False,0.01902818877252014,61,17,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
15,process_failed,missing,False,False,0.019790900172665715,2,False,0.022768243970183323,63,59,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
16,process_failed,missing,False,False,0.02039900003001094,2,False,0.04377147669534585,24,84,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
17,process_failed,missing,False,False,0.020406800089403987,2,False,0.0313054274740659,91,78,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
18,process_failed,missing,False,False,0.020405800081789494,2,False,0.08049595931393051,109,42,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
19,process_failed,missing,False,False,0.021034300094470382,2,False,0.06828130084710006,40,66,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
